location_label,description,charger_href,charger_type,lat,lon
Hotel Mision Orizaba,"Oriente 6 No. 464 Centro, Orizaba, VER 94300",https://www.tesla.com/findus/location/charger/dc33207,charger,18.8471903,-97.100447
Fiesta Americana Merida,"Paseo Montejo No. 451 Centro, Merida, YUC 97000",https://www.tesla.com/findus/location/charger/dc22473,charger,20.9754976,-89.6196053
Bruma Valle de Guadalupe,"Carretera Tecate Ensenada Km. 74 Valle de Guadalupe, Ensenada, Baja California 22760",https://www.tesla.com/findus/location/charger/dc20124,super_charger,32.0446425,-116.5986357
Santuario Diegueño,"798 Río Yaqui, Tecate, Baja California 21420",https://www.tesla.com/findus/location/charger/dc20848,super_charger,32.5744366,-116.6190991
Encuentro Guadalaupe,"Carretera Tecate- Ensenada Km. 75 Valle de Guadalupe, Ensenada, Baja California 22750",https://www.tesla.com/findus/location/charger/dc17442,super_charger,32.0446425,-116.5986357
Entre Santos Bodegas de Santo Tomas,"Carretera Ensenada - Tecate Km. 94 San Antonio de las Minas, Ensenada, Baja California 22800",https://www.tesla.com/findus/location/charger/dc23052,super_charger,31.9671581,-116.659572
Hotel Las Rosas & Spa,"Carretera Tijuana - Ensenada Km 105. 5 El Sauzal, Ensenada, Baja California 22760",https://www.tesla.com/findus/location/charger/dc22950,super_charger,31.8699206,-116.6770124
Hotel Pueblo Amigo,"9211 Via Oriente Zona del Rio, Tijuana, Baja California 22320",https://www.tesla.com/findus/location/charger/dc15033,super_charger,32.5288597,-117.0159316
Hotel Punta Morro,"Carretera Tijuana-Ensenada Km. 106, Ensenada, Baja California 22870",https://www.tesla.com/findus/location/charger/dc13438,super_charger,31.8664093,-116.6621611
Vinas de Garza,"Carretera Tecate - Ensenada Km 87 Valle de Guadalupe, Ensenada, Baja California 22650",https://www.tesla.com/findus/location/charger/dc22948,super_charger,32.1128117,-116.546857
Cervantes 169,"Blvd. Miguel de Cervantes Saavedra 169 Granada, Miguel Hidalgo, CMX 11520",https://www.tesla.com/findus/location/charger/dc48200,super_charger,19.4408663,-99.19682
